time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
112800.000000,0.2009438442,0.2007836252,0.2003303324,0.1995726277,0.1985071096,0.1971153574,0.1953973652,0.1933475240,0.1909251245,0.1881319640,0.1849279101,0.1812706849,0.1771162097,0.1723860675,0.1669805525,0.1607475279,0.1534429927,0.1446243491,0.1333957774,0.1171651481,0.0589808860
112860.000000,0.2008820528,0.2007219175,0.2002688611,0.1995115509,0.1984465859,0.1970555529,0.1953384438,0.1932896494,0.1908684769,0.1880767184,0.1848742552,0.1812188226,0.1770663540,0.1723384573,0.1669354571,0.1607052637,0.1534039522,0.1445890619,0.1333650465,0.1171405440,0.0589704393
112920.000000,0.2008202614,0.2006602098,0.2002073899,0.1994504741,0.1983860621,0.1969957484,0.1952795223,0.1932317748,0.1908118293,0.1880214728,0.1848206003,0.1811669603,0.1770164984,0.1722908471,0.1668903617,0.1606629996,0.1533649116,0.1445537747,0.1333343156,0.1171159398,0.0589599926
112980.000000,0.2007586193,0.2005986512,0.2001460671,0.1993895447,0.1983256842,0.1969360877,0.1952207422,0.1931740388,0.1907553169,0.1879663586,0.1847670726,0.1811152203,0.1769667596,0.1722433478,0.1668453705,0.1606208323,0.1533259597,0.1445185666,0.1333036524,0.1170913887,0.0589495849
113040.000000,0.2006969773,0.2005370925,0.2000847443,0.1993286153,0.1982653063,0.1968764271,0.1951619622,0.1931163028,0.1906988046,0.1879112444,0.1847135448,0.1810634802,0.1769170208,0.1721958485,0.1668003794,0.1605786651,0.1532870078,0.1444833585,0.1332729893,0.1170668376,0.0589391773
113100.000000,0.2006354840,0.2004756825,0.2000235694,0.1992678328,0.1982050737,0.1968169097,0.1951033230,0.1930587048,0.1906424269,0.1878562611,0.1846601437,0.1810118620,0.1768673985,0.1721484598,0.1667554922,0.1605365944,0.1532481441,0.1444482292,0.1332423937,0.1170423393,0.0589288085
113160.000000,0.2005739908,0.2004142724,0.1999623945,0.1992070502,0.1981448411,0.1967573924,0.1950446839,0.1930011068,0.1905860493,0.1878012778,0.1846067425,0.1809602438,0.1768177762,0.1721010710,0.1667106050,0.1604945237,0.1532092805,0.1444130999,0.1332117981,0.1170178410,0.0589184397
113220.000000,0.2005126457,0.2003530104,0.1999013670,0.1991464138,0.1980847533,0.1966980178,0.1949861851,0.1929436463,0.1905298058,0.1877464249,0.1845534675,0.1809087469,0.1767682699,0.1720537924,0.1666658214,0.1604525493,0.1531705049,0.1443780492,0.1331812698,0.1169933954,0.0589081095
113280.000000,0.2004513007,0.2002917483,0.1998403394,0.1990857775,0.1980246654,0.1966386432,0.1949276863,0.1928861858,0.1904735623,0.1876915720,0.1845001925,0.1808572501,0.1767187636,0.1720065137,0.1666210377,0.1604105748,0.1531317292,0.1443429984,0.1331507415,0.1169689498,0.0588977793
113340.000000,0.2003901033,0.2002306336,0.1997794586,0.1990252869,0.1979647217,0.1965794109,0.1948693273,0.1928288624,0.1904174526,0.1876368490,0.1844470432,0.1808058741,0.1766693729,0.1719593448,0.1665763573,0.1603686962,0.1530930412,0.1443080259,0.1331202802,0.1169445566,0.0588874876
