time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
2940,2.542753,2.542233,2.540659,2.537801,2.533353,2.526799,2.517395,2.504257,2.486420,2.462662,2.431518,2.391848,2.342509,2.281722,2.209108,2.123970,2.026283,1.916294,1.795157,1.664309,1.525630
3000,2.541684,2.541115,2.539396,2.536292,2.531489,2.524465,2.514465,2.500609,2.481944,2.457270,2.425163,2.384536,2.334312,2.272795,2.199676,2.114333,2.016794,1.907341,1.787123,1.657532,1.520361
3060,2.540505,2.539885,2.538016,2.534657,2.529491,2.521988,2.511386,2.496811,2.477324,2.451750,2.418705,2.377157,2.326090,2.263890,2.190315,2.104808,2.007447,1.898545,1.779237,1.650876,1.515183
3120,2.539209,2.538537,2.536514,2.532893,2.527356,2.519366,2.508159,2.492865,2.472564,2.446107,2.412149,2.369715,2.317848,2.255010,2.181021,2.095388,1.998229,1.889884,1.771475,1.644329,1.510187
3180,2.537793,2.537066,2.534884,2.530996,2.525082,2.516599,2.504784,2.488774,2.467668,2.440345,2.405502,2.362215,2.309587,2.246153,2.171792,2.086065,1.989130,1.881351,1.763843,1.637923,1.505301
3240,2.536251,2.535468,2.533124,2.528962,2.522665,2.513686,2.501261,2.484539,2.462639,2.434469,2.398768,2.354662,2.301312,2.237324,2.162628,2.076841,1.980154,1.872955,1.756352,1.631641,1.500477
3300,2.534578,2.533738,2.531228,2.526789,2.520104,2.510626,2.497592,2.480164,2.457482,2.428484,2.391951,2.347061,2.293027,2.228524,2.153532,2.067716,1.971301,1.864693,1.748992,1.625470,1.495728
3360,2.532769,2.531871,2.529193,2.524474,2.517397,2.507418,2.493777,2.475649,2.452199,2.422394,2.385058,2.339417,2.284737,2.219759,2.144507,2.058694,1.962573,1.856568,1.741767,1.619404,1.490982
3420,2.530820,2.529864,2.527016,2.522013,2.514543,2.504063,2.489818,2.470999,2.446795,2.416205,2.378094,2.331737,2.276449,2.211033,2.135557,2.049776,1.953969,1.848574,1.734661,1.613421,1.486299
3480,2.528729,2.527713,2.524693,2.519404,2.511541,2.500561,2.485717,2.466217,2.441275,2.409922,2.371065,2.324025,2.268166,2.202350,2.126685,2.040964,1.945491,1.840711,1.727674,1.607524,1.481605
3540,2.526491,2.525415,2.522222,2.516647,2.508390,2.496912,2.481475,2.461306,2.435644,2.403552,2.363977,2.316289,2.259895,2.193716,2.117894,2.032260,1.937136,1.832974,1.720795,1.601695,1.476950
3600,2.524103,2.522967,2.519601,2.513739,2.505090,2.493118,2.477096,2.456270,2.429906,2.397099,2.356837,2.308533,2.251639,2.185130,2.109181,2.023656,1.928890,1.825340,1.713999,1.595934,1.472421
3660,2.521563,2.520368,2.516828,2.510681,2.501641,2.489181,2.472583,2.451113,2.424066,2.390567,2.349647,2.300759,2.243398,2.176591,2.100541,2.015144,1.920746,1.817806,1.707298,1.590264,1.467943
3720,2.518870,2.517615,2.513902,2.507471,2.498043,2.485101,2.467937,2.445838,2.418127,2.383962,2.342412,2.292972,2.235176,2.168099,2.091975,2.006724,1.912705,1.810377,1.700695,1.584674,1.463509
3780,2.516021,2.514706,2.510821,2.504109,2.494299,2.480880,2.463161,2.440449,2.412094,2.377286,2.335135,2.285173,2.226972,2.159657,2.083482,1.998395,1.904763,1.803045,1.694180,1.579159,1.459157
3840,2.513016,2.511642,2.507587,2.500595,2.490407,2.476521,2.458257,2.434948,2.405970,2.370545,2.327819,2.277365,2.218791,2.151263,2.075061,1.990153,1.896917,1.795812,1.687758,1.573719,1.454813
3900,2.509854,2.508421,2.504197,2.496930,2.486370,2.472025,2.453230,2.429340,2.399759,2.363741,2.320470,2.269553,2.210633,2.142920,2.066713,1.982002,1.889171,1.788678,1.681425,1.568341,1.450483
3960,2.506533,2.505043,2.500652,2.493114,2.482189,2.467394,2.448082,2.423628,2.393465,2.356880,2.313090,2.261739,2.202503,2.134630,2.058439,1.973940,1.881522,1.781641,1.675175,1.563020,1.446190
4020,2.503055,2.501508,2.496953,2.489149,2.477866,2.462632,2.442815,2.417816,2.387093,2.349965,2.305684,2.253927,2.194402,2.126395,2.050241,1.965969,1.873970,1.774698,1.669006,1.557752,1.441877
4080,2.499420,2.497816,2.493101,2.485036,2.473402,2.457741,2.437434,2.411908,2.380648,2.343001,2.298256,2.246122,2.186335,2.118218,2.042122,1.958089,1.866517,1.767850,1.662915,1.552525,1.437542
4140,2.495628,2.493969,2.489097,2.480776,2.468801,2.452723,2.431943,2.405908,2.374133,2.335993,2.290811,2.238327,2.178303,2.110099,2.034079,1.950298,1.859153,1.761082,1.656882,1.547334,1.433303
4200,2.491682,2.489969,2.484943,2.476373,2.464065,2.447584,2.426345,2.399822,2.367553,2.328945,2.283352,2.230543,2.170308,2.102038,2.026108,1.942587,1.851871,1.754388,1.650913,1.542199,1.429069
4260,2.487582,2.485817,2.480641,2.471828,2.459198,2.442325,2.420645,2.393651,2.360911,2.321859,2.275880,2.222772,2.162349,2.094032,2.018209,1.934956,1.844670,1.747768,1.645005,1.537107,1.424875
4320,2.483330,2.481515,2.476192,2.467145,2.454202,2.436951,2.414844,2.387400,2.354211,2.314738,2.268398,2.215014,2.154425,2.086080,2.010375,1.927397,1.837538,1.741211,1.639148,1.532066,1.420784
4380,2.478930,2.477065,2.471601,2.462325,2.449079,2.431464,2.408948,2.381072,2.347455,2.307585,2.260908,2.207271,2.146536,2.078180,2.002605,1.919909,1.830481,1.734727,1.633364,1.527085,1.416631
4440,2.474384,2.472470,2.466869,2.457373,2.443834,2.425868,2.402959,2.374671,2.340648,2.300403,2.253412,2.199545,2.138685,2.070336,1.994906,1.912501,1.823509,1.728326,1.627649,1.522132,1.412443
4500,2.469693,2.467733,2.462000,2.452290,2.438470,2.420166,2.396881,2.368201,2.333793,2.293197,2.245914,2.191839,2.130875,2.062550,1.987278,1.905171,1.816613,1.721993,1.621982,1.517202,1.408307
4560,2.464862,2.462857,2.456996,2.447081,2.432990,2.414362,2.390718,2.361665,2.326893,2.285968,2.238416,2.184155,2.123106,2.054819,1.979714,1.897910,1.809785,1.715719,1.616361,1.512311,1.404208
4620,2.459893,2.457845,2.451861,2.441748,2.427398,2.408461,2.384474,2.355066,2.319952,2.278719,2.230920,2.176493,2.115375,2.047141,1.972213,1.890714,1.803020,1.709498,1.610782,1.507457,1.400166
4680,2.454790,2.452701,2.446598,2.436297,2.421698,2.402465,2.378152,2.348409,2.312972,2.271451,2.223425,2.168851,2.107682,2.039512,1.964769,1.883579,1.796313,1.703332,1.605254,1.502653,1.396152
4740,2.449557,2.447428,2.441212,2.430729,2.415893,2.396378,2.371755,2.341695,2.305955,2.264167,2.215934,2.161230,2.100025,2.031933,1.957383,1.876505,1.789667,1.697222,1.599776,1.497888,1.392171
4800,2.444197,2.442029,2.435705,2.425049,2.409986,2.390204,2.365287,2.334928,2.298903,2.256868,2.208446,2.153631,2.092405,2.024401,1.950052,1.869491,1.783081,1.691169,1.594348,1.493160,1.388175
4860,2.438713,2.436509,2.430081,2.419261,2.403982,2.383944,2.358750,2.328109,2.291820,2.249557,2.200965,2.146054,2.084823,2.016920,1.942780,1.862540,1.776559,1.685179,1.588974,1.488458,1.384145
4920,2.433109,2.430871,2.424345,2.413367,2.397883,2.377605,2.352148,2.321243,2.284707,2.242234,2.193491,2.138502,2.077280,2.009489,1.935566,1.855650,1.770098,1.679241,1.583635,1.483776,1.380182
4980,2.427390,2.425119,2.418499,2.407372,2.391694,2.371188,2.345484,2.314333,2.277568,2.234904,2.186026,2.130976,2.069776,2.002107,1.928409,1.848821,1.763697,1.673358,1.578346,1.479129,1.376157
5040,2.421559,2.419257,2.412548,2.401279,2.385418,2.364697,2.338763,2.307381,2.270405,2.227568,2.178574,2.123477,2.062315,1.994780,1.921314,1.842060,1.757363,1.667538,1.573102,1.474488,1.372088
5100,2.415621,2.413289,2.406496,2.395094,2.379060,2.358137,2.331987,2.300392,2.263223,2.220230,2.171137,2.116010,2.054897,1.987508,1.914281,1.835361,1.751089,1.661765,1.567886,1.469854,1.368044
5160,2.409580,2.407219,2.400347,2.388820,2.372623,2.351512,2.325161,2.293369,2.256024,2.212893,2.163715,2.108572,2.047522,1.980285,1.907301,1.828715,1.744859,1.656023,1.562684,1.465237,1.364096
5220,2.403440,2.401054,2.394107,2.382461,2.366113,2.344826,2.318288,2.286315,2.248809,2.205555,2.156309,2.101163,2.040184,1.973107,1.900368,1.822114,1.738670,1.650315,1.557516,1.460662,1.360146
5280,2.397207,2.394795,2.387778,2.376023,2.359532,2.338081,2.311370,2.279231,2.241580,2.198219,2.148917,2.093781,2.032885,1.965974,1.893487,1.815566,1.732532,1.644657,1.552393,1.456108,1.356137
5340,2.390884,2.388449,2.381367,2.369507,2.352884,2.331281,2.304411,2.272120,2.234340,2.190885,2.141544,2.086429,2.025626,1.958889,1.886656,1.809069,1.726442,1.639039,1.547296,1.451565,1.352187
5400,2.384475,2.382019,2.374875,2.362920,2.346174,2.324430,2.297414,2.264985,2.227090,2.183557,2.134187,2.079107,2.018405,1.951849,1.879873,1.802621,1.720398,1.633461,1.542232,1.447043,1.348192
5460,2.377985,2.375509,2.368308,2.356263,2.339403,2.317530,2.290381,2.257828,2.219832,2.176234,2.126850,2.071814,2.011223,1.944854,1.873138,1.796218,1.714395,1.627916,1.537188,1.442535,1.344282
5520,2.371418,2.368923,2.361669,2.349542,2.332577,2.310586,2.283315,2.250652,2.212568,2.168918,2.119531,2.064549,2.004077,1.937899,1.866445,1.789858,1.708430,1.622403,1.532174,1.438060,1.340362
5580,2.364778,2.362265,2.354963,2.342760,2.325699,2.303599,2.276219,2.243457,2.205298,2.161610,2.112231,2.057313,1.996967,1.930986,1.859797,1.783542,1.702509,1.616930,1.527194,1.433598,1.336405
5640,2.358069,2.355540,2.348193,2.335920,2.318771,2.296573,2.269095,2.236248,2.198026,2.154310,2.104951,2.050107,1.989895,1.924116,1.853195,1.777272,1.696630,1.611496,1.522241,1.429147,1.332457
5700,2.351294,2.348751,2.341363,2.329026,2.311798,2.289511,2.261947,2.229025,2.190753,2.147021,2.097692,2.042930,1.982860,1.917286,1.846635,1.771043,1.690789,1.606090,1.517306,1.424707,1.328541
5760,2.344459,2.341902,2.334477,2.322082,2.304781,2.282416,2.254775,2.221790,2.183479,2.139743,2.090453,2.035783,1.975859,1.910496,1.840116,1.764854,1.684984,1.600715,1.512398,1.420292,1.324622
5820,2.337566,2.334997,2.327538,2.315091,2.297726,2.275291,2.247584,2.214547,2.176208,2.132476,2.083236,2.028665,1.968896,1.903748,1.833641,1.758710,1.679222,1.595380,1.507522,1.415884,1.320639
5880,2.330619,2.328039,2.320550,2.308056,2.290634,2.268138,2.240375,2.207296,2.168940,2.125224,2.076043,2.021579,1.961970,1.897042,1.827210,1.752610,1.673501,1.590079,1.502666,1.411479,1.316683
5940,2.323623,2.321033,2.313516,2.300982,2.283509,2.260961,2.233151,2.200041,2.161677,2.117987,2.068873,2.014524,1.955080,1.890374,1.820818,1.746543,1.667806,1.584791,1.497811,1.407083,1.312823
6000,2.316580,2.313982,2.306441,2.293870,2.276354,2.253762,2.225914,2.192782,2.154420,2.110764,2.061725,2.007496,1.948221,1.883737,1.814455,1.740502,1.662130,1.579518,1.492976,1.402729,1.309010
6060,2.309495,2.306889,2.299327,2.286725,2.269172,2.246542,2.218665,2.185520,2.147168,2.103554,2.054596,2.000493,1.941391,1.877132,1.808123,1.734493,1.656485,1.574278,1.488177,1.398404,1.305152
6120,2.302370,2.299757,2.292177,2.279548,2.261964,2.239304,2.211406,2.178255,2.139922,2.096358,2.047489,1.993518,1.934593,1.870562,1.801830,1.728522,1.650881,1.569079,1.483413,1.394084,1.301220
6180,2.295207,2.292590,2.284994,2.272342,2.254732,2.232050,2.204138,2.170991,2.132684,2.089179,2.040405,1.986571,1.927829,1.864029,1.795574,1.722588,1.645309,1.563904,1.478658,1.389761,1.297378
6240,2.288012,2.285389,2.277781,2.265110,2.247481,2.224782,2.196864,2.163728,2.125456,2.082015,2.033343,1.979652,1.921095,1.857527,1.789349,1.716683,1.639762,1.558748,1.473920,1.385464,1.293535
6300,2.280785,2.278158,2.270540,2.257855,2.240211,2.217502,2.189585,2.156467,2.118237,2.074868,2.026304,1.972760,1.914392,1.851059,1.783158,1.710811,1.634246,1.553621,1.469207,1.381182,1.289678
6360,2.273530,2.270900,2.263274,2.250579,2.232925,2.210212,2.182303,2.149210,2.111028,2.067738,2.019288,1.965896,1.907721,1.844624,1.777002,1.704974,1.628765,1.548525,1.464519,1.376902,1.285764
6420,2.266249,2.263618,2.255986,2.243284,2.225625,2.202915,2.175019,2.141958,2.103833,2.060627,2.012296,1.959061,1.901083,1.838227,1.770885,1.699176,1.623319,1.543460,1.459849,1.372620,1.281835
6480,2.258947,2.256314,2.248678,2.235973,2.218315,2.195612,2.167737,2.134715,2.096651,2.053537,2.005332,1.952259,1.894481,1.831867,1.764807,1.693415,1.617908,1.538422,1.455192,1.368333,1.277870
6540,2.251625,2.248991,2.241354,2.228650,2.210996,2.188306,2.160458,2.127481,2.089486,2.046469,1.998394,1.945488,1.887913,1.825542,1.758762,1.687684,1.612519,1.533393,1.450531,1.364047,1.274029
6600,2.244286,2.241653,2.234017,2.221316,2.203671,2.180999,2.153183,2.120257,2.082337,2.039421,1.991482,1.938745,1.881375,1.819247,1.752744,1.681976,1.607147,1.528377,1.445887,1.359790,1.270145
6660,2.236934,2.234301,2.226668,2.213974,2.196342,2.173693,2.145914,2.113045,2.075204,2.032396,1.984595,1.932030,1.874868,1.812984,1.746759,1.676299,1.601805,1.523391,1.441269,1.355539,1.266224
6720,2.229571,2.226940,2.219311,2.206626,2.189011,2.166390,2.138653,2.105845,2.068089,2.025393,1.977735,1.925347,1.868394,1.806755,1.740807,1.670654,1.596491,1.518427,1.436663,1.351285,1.262310
