time_s,time_h,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
197280,54.80000000,0.005,0.153006,0.152908,0.152622,0.152144,0.151475,0.150608,0.149528,0.148229,0.146699,0.144922,0.142869,0.140519,0.137839,0.134754,0.131207,0.127077,0.122187,0.116195,0.108433,0.096949,0.052901
197280,54.80000000,0.010,0.153005,0.152907,0.152621,0.152143,0.151474,0.150607,0.149528,0.148228,0.146699,0.144921,0.142868,0.140518,0.137838,0.134754,0.131206,0.127077,0.122187,0.116194,0.108433,0.096949,0.052901
197280,54.80000000,0.015,0.153004,0.152905,0.152620,0.152142,0.151473,0.150605,0.149526,0.148226,0.146697,0.144920,0.142867,0.140517,0.137837,0.134753,0.131205,0.127076,0.122186,0.116193,0.108432,0.096948,0.052901
197280,54.80000000,0.020,0.153001,0.152903,0.152617,0.152139,0.151470,0.150602,0.149523,0.148224,0.146694,0.144917,0.142864,0.140514,0.137835,0.134750,0.131203,0.127074,0.122184,0.116192,0.108430,0.096947,0.052900
197280,54.80000000,0.025,0.152996,0.152898,0.152612,0.152134,0.151466,0.150598,0.149519,0.148220,0.146690,0.144913,0.142860,0.140511,0.137831,0.134747,0.131200,0.127071,0.122181,0.116189,0.108428,0.096945,0.052900
197280,54.80000000,0.030,0.152990,0.152891,0.152605,0.152128,0.151459,0.150592,0.149513,0.148213,0.146684,0.144907,0.142855,0.140505,0.137826,0.134742,0.131195,0.127066,0.122177,0.116186,0.108425,0.096943,0.052899
197280,54.80000000,0.035,0.152980,0.152881,0.152596,0.152118,0.151449,0.150582,0.149503,0.148204,0.146675,0.144898,0.142846,0.140497,0.137818,0.134734,0.131188,0.127060,0.122171,0.116180,0.108420,0.096939,0.052899
197280,54.80000000,0.040,0.152965,0.152867,0.152581,0.152103,0.151435,0.150568,0.149489,0.148190,0.146662,0.144885,0.142833,0.140485,0.137806,0.134723,0.131177,0.127050,0.122162,0.116171,0.108413,0.096933,0.052898
197280,54.80000000,0.045,0.152943,0.152845,0.152559,0.152082,0.151414,0.150547,0.149469,0.148170,0.146642,0.144866,0.142815,0.140467,0.137789,0.134707,0.131162,0.127035,0.122148,0.116159,0.108402,0.096924,0.052896
197280,54.80000000,0.050,0.152912,0.152814,0.152529,0.152051,0.151383,0.150517,0.149439,0.148141,0.146614,0.144838,0.142788,0.140441,0.137764,0.134683,0.131139,0.127014,0.122129,0.116141,0.108386,0.096911,0.052893
197280,54.80000000,0.055,0.152868,0.152770,0.152484,0.152007,0.151340,0.150474,0.149397,0.148100,0.146573,0.144799,0.142749,0.140404,0.137728,0.134649,0.131107,0.126984,0.122101,0.116116,0.108364,0.096893,0.052890
197280,54.80000000,0.060,0.152804,0.152706,0.152421,0.151944,0.151278,0.150412,0.149336,0.148040,0.146515,0.144742,0.142695,0.140351,0.137677,0.134600,0.131061,0.126940,0.122060,0.116080,0.108332,0.096867,0.052885
197280,54.80000000,0.065,0.152714,0.152616,0.152331,0.151855,0.151189,0.150325,0.149250,0.147956,0.146433,0.144662,0.142617,0.140275,0.137605,0.134531,0.130996,0.126879,0.122004,0.116028,0.108287,0.096830,0.052878
197280,54.80000000,0.070,0.152585,0.152488,0.152203,0.151728,0.151064,0.150201,0.149128,0.147836,0.146316,0.144548,0.142506,0.140169,0.137503,0.134433,0.130903,0.126792,0.121923,0.115955,0.108223,0.096778,0.052868
197280,54.80000000,0.075,0.152393,0.152295,0.152012,0.151538,0.150876,0.150015,0.148946,0.147657,0.146140,0.144377,0.142341,0.140009,0.137349,0.134287,0.130764,0.126662,0.121803,0.115846,0.108127,0.096700,0.052854
197280,54.80000000,0.080,0.152113,0.152016,0.151734,0.151262,0.150602,0.149746,0.148680,0.147396,0.145886,0.144130,0.142101,0.139777,0.137127,0.134075,0.130564,0.126474,0.121629,0.115689,0.107989,0.096588,0.052832
197280,54.80000000,0.085,0.151710,0.151613,0.151333,0.150864,0.150208,0.149357,0.148298,0.147021,0.145520,0.143773,0.141755,0.139444,0.136808,0.133771,0.130276,0.126205,0.121380,0.115463,0.107791,0.096428,0.052802
197280,54.80000000,0.090,0.151086,0.150991,0.150713,0.150249,0.149599,0.148756,0.147707,0.146442,0.144954,0.143223,0.141222,0.138931,0.136315,0.133302,0.129833,0.125790,0.120997,0.115116,0.107487,0.096181,0.052757
197280,54.80000000,0.095,0.150157,0.150063,0.149789,0.149332,0.148692,0.147861,0.146827,0.145580,0.144112,0.142405,0.140430,0.138167,0.135584,0.132605,0.129175,0.125174,0.120429,0.114602,0.107037,0.095816,0.052691
197280,54.80000000,0.100,0.148668,0.148577,0.148310,0.147863,0.147239,0.146427,0.145417,0.144200,0.142765,0.141095,0.139162,0.136946,0.134413,0.131492,0.128123,0.124191,0.119522,0.113781,0.106319,0.095234,0.052587
197280,54.80000000,0.105,0.146310,0.146222,0.145965,0.145536,0.144936,0.144156,0.143184,0.142011,0.140629,0.139018,0.137152,0.135010,0.132558,0.129726,0.126456,0.122633,0.118084,0.112481,0.105182,0.094311,0.052430
197280,54.80000000,0.110,0.142429,0.142346,0.142107,0.141706,0.141144,0.140414,0.139504,0.138404,0.137106,0.135591,0.133833,0.131811,0.129493,0.126808,0.123700,0.120056,0.115706,0.110330,0.103300,0.092784,0.052185
197280,54.80000000,0.115,0.135705,0.135632,0.135420,0.135064,0.134565,0.133915,0.133105,0.132124,0.130964,0.129608,0.128030,0.126209,0.124116,0.121681,0.118850,0.115514,0.111511,0.106531,0.099972,0.090079,0.051796
197280,54.80000000,0.120,0.122573,0.122515,0.122346,0.122065,0.121669,0.121154,0.120510,0.119729,0.118804,0.117720,0.116454,0.114989,0.113296,0.111316,0.109000,0.106247,0.102912,0.098713,0.093099,0.084472,0.051156
197280,54.80000000,0.125,0.052679,0.052673,0.052655,0.052624,0.052582,0.052527,0.052460,0.052381,0.052289,0.052184,0.052067,0.051936,0.051791,0.051633,0.051459,0.051271,0.051065,0.050840,0.050593,0.050316,0.049998
197340,54.81666667,0.000,0.152988,0.152889,0.152603,0.152125,0.151457,0.150589,0.149510,0.148211,0.146682,0.144905,0.142852,0.140503,0.137823,0.134739,0.131193,0.127064,0.122175,0.116183,0.108423,0.096941,0.052899
197340,54.81666667,0.005,0.152987,0.152889,0.152603,0.152125,0.151456,0.150589,0.149510,0.148211,0.146682,0.144904,0.142852,0.140502,0.137823,0.134739,0.131192,0.127064,0.122174,0.116183,0.108423,0.096941,0.052899
197340,54.81666667,0.010,0.152986,0.152888,0.152602,0.152124,0.151456,0.150588,0.149509,0.148210,0.146681,0.144904,0.142851,0.140502,0.137822,0.134738,0.131192,0.127063,0.122174,0.116183,0.108422,0.096940,0.052899
197340,54.81666667,0.015,0.152985,0.152886,0.152600,0.152123,0.151454,0.150586,0.149508,0.148208,0.146679,0.144902,0.142850,0.140500,0.137821,0.134737,0.131191,0.127062,0.122173,0.116182,0.108421,0.096940,0.052899
197340,54.81666667,0.020,0.152982,0.152883,0.152598,0.152120,0.151451,0.150584,0.149505,0.148206,0.146677,0.144900,0.142847,0.140498,0.137819,0.134735,0.131189,0.127060,0.122171,0.116180,0.108420,0.096939,0.052899
197340,54.81666667,0.025,0.152977,0.152879,0.152593,0.152115,0.151447,0.150579,0.149501,0.148201,0.146673,0.144896,0.142843,0.140494,0.137815,0.134732,0.131185,0.127057,0.122168,0.116178,0.108418,0.096937,0.052898
197340,54.81666667,0.030,0.152971,0.152872,0.152586,0.152109,0.151440,0.150573,0.149494,0.148195,0.146666,0.144890,0.142838,0.140489,0.137810,0.134727,0.131181,0.127052,0.122164,0.116174,0.108414,0.096934,0.052898
