time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
2820,1.828233,308.7241,308.7389,308.7833,308.8572,308.9606,309.0935,309.2557,309.4472,309.6678,309.9173,310.1954,310.5018,310.8360,311.1976,311.5864,312.0024,312.4471,312.9241,313.4428,,,313.5996
2880,1.825600,309.0026,309.0174,309.0618,309.1355,309.2388,309.3714,309.5333,309.7241,309.9438,310.1920,310.4682,310.7722,311.1034,311.4614,311.8464,312.2594,312.7026,313.1815,313.7078,,,313.8530
2940,1.822967,309.2806,309.2954,309.3396,309.4131,309.5160,309.6480,309.8091,309.9989,310.2173,310.4638,310.7382,311.0402,311.3693,311.7252,312.1080,312.5179,312.9560,313.4249,313.9323,,,314.0560
3000,1.820333,309.5575,309.5722,309.6161,309.6893,309.7916,309.9229,310.0830,310.2717,310.4886,310.7335,311.0058,311.3051,311.6308,311.9823,312.3593,312.7621,313.1924,313.6541,314.1574,,,314.2666
3060,1.817700,309.8328,309.8474,309.8911,309.9638,310.0654,310.1958,310.3548,310.5420,310.7571,310.9996,311.2691,311.5650,311.8867,312.2337,312.6057,313.0030,313.4270,313.8812,314.3744,,,314.4672
3120,1.815067,310.1063,310.1208,310.1641,310.2362,310.3370,310.4663,310.6238,310.8092,311.0221,311.2620,311.5284,311.8207,312.1385,312.4814,312.8499,313.2453,313.6709,314.1333,314.6463,,,314.7295
3180,1.812433,310.3774,310.3917,310.4347,310.5061,310.6059,310.7339,310.8898,311.0733,311.2840,311.5216,311.7857,312.0760,312.3923,312.7349,313.1043,313.5016,313.9290,314.3909,314.8969,,,314.9639
3240,1.809800,310.6458,310.6601,310.7026,310.7733,310.8722,310.9990,311.1535,311.3355,311.5447,311.7808,312.0435,312.3325,312.6476,312.9888,313.3562,313.7508,314.1746,314.6318,315.1329,,,315.1851
3300,1.807167,310.9119,310.9260,310.9681,311.0383,311.1364,311.2623,311.4158,311.5966,311.8045,312.0391,312.3002,312.5875,312.9006,313.2394,313.6043,313.9959,314.4163,314.8702,315.3679,,,315.4058
3360,1.804533,311.1759,311.1899,311.2318,311.3015,311.3989,311.5240,311.6764,311.8560,312.0626,312.2956,312.5550,312.8402,313.1508,313.4867,313.8477,314.2341,314.6471,315.0897,315.5703,,,315.5932
3420,1.801900,311.4381,311.4520,311.4936,311.5629,311.6597,311.7839,311.9352,312.1135,312.3184,312.5496,312.8064,313.0886,313.3953,313.7263,314.0814,314.4610,314.8670,315.3036,315.7812,,,315.7908
3480,1.799267,311.6985,311.7124,311.7536,311.8224,311.9184,312.0416,312.1916,312.3682,312.5710,312.7996,313.0535,313.3319,313.6345,313.9605,314.3098,314.6821,315.0784,315.5011,,,,315.9543
3540,1.796633,311.9568,311.9705,312.0114,312.0795,312.1746,312.2965,312.4449,312.6195,312.8198,313.0454,313.2954,313.5693,313.8662,314.1854,314.5265,314.8895,315.2757,315.6887,,,,316.1221
3600,1.794000,312.2125,312.2260,312.2664,312.3337,312.4276,312.5480,312.6944,312.8665,313.0638,313.2856,313.5313,313.8002,314.0916,314.4052,314.7412,315.1008,315.4868,315.9054,,,,316.3397
3660,1.790967,312.4649,312.4783,312.5181,312.5845,312.6771,312.7957,312.9400,313.1095,313.3037,313.5222,313.7645,314.0300,314.3184,314.6297,314.9641,315.3223,315.7059,316.1186,,,,316.5266
3720,1.787933,312.7138,312.7270,312.7662,312.8316,312.9229,313.0398,313.1821,313.3493,313.5410,313.7569,313.9963,314.2588,314.5440,314.8516,315.1817,315.5349,315.9132,316.3209,,,,316.7116
3780,1.784900,312.9592,312.9721,313.0109,313.0754,313.1655,313.2808,313.4213,313.5864,313.7757,313.9889,314.2254,314.4847,314.7665,315.0707,315.3974,315.7476,316.1237,316.5304,,,,316.9076
